organization,linkedin,position,startDate,endDate,status,person_id
FysioHolland B.V.,https://www.linkedin.com/company/fysioholland,Physical Therapist,2016-05,2017-08,INACTIVE,241
U.D.I. Enschede,,Physical Therapist,2013-06,2017-08,INACTIVE,241
FC Twente,https://www.linkedin.com/company/fc-twente,Physical Therapist,2016-01,2016-12,INACTIVE,241
Ambulantes Physio Center Gronau,,Physical Therapist,2016-03,2016-04,INACTIVE,241
Saxion,,Student,2011-09,2016-03,INACTIVE,241
Bundeswehr,https://www.linkedin.com/company/bundeswehr,Ministerial Officer,2005-01,2011-08,INACTIVE,241
Woody-Display,,Vizepräsident Junior,2020-08,,ACTIVE,242
DERTOUR Austria GmbH,,Prokurist / Direktor Touristik,2023-10,,ACTIVE,243
REWE Austria Touristik GmbH,,Prokurist / Direktor Touristik,2017-07,2024-01,INACTIVE,243
REWE Austria Touristik GmbH,,Prokurist / Leitung Touristik Pauschalreisen & eCommerce,2013-01,2017-06,INACTIVE,243
REWE Austria Touristik GmbH,,Leitung Expansion,2008-09,2012-12,INACTIVE,243
REWE Austria Touristik GmbH,,"Leitung eCommerce - New Media, Organisation",1998-11,2008-08,INACTIVE,243
ITS BILLA TRAVEL s.r.o.,https://www.linkedin.com/company/its-billa-travel,Geschäftsleiter,2009-01,2012-12,INACTIVE,243
Gärtner Transporte,,Kipper -Spedition,1990-01,,ACTIVE,244
Escola de Educação Infantil João e Maria,,Pedagoga,2010-03,,ACTIVE,245
Butte County Behavioral Health,https://www.linkedin.com/company/butte-county-behavioral-health,Behavioral Health Clinician,2022-08,,ACTIVE,246
BUTTE COUNTY DEPARTMENT OF BEHAVIORAL HEATH,https://www.linkedin.com/company/butte-county-department-of-behavioral-heath,Counselor,2022-07,2022-10,INACTIVE,246
Azad's Martial Arts Family Center,,Chief Instructor,2009-05,2022-07,INACTIVE,246
Far Northern Regional Center,,Service Coordinator,2005-09,2009-05,INACTIVE,246
Media Solutions,https://www.linkedin.com/company/media-solutions,Owner,,,UNKNOWN,247
Superweb LLP,,Web Developer,2024-05,,ACTIVE,248
Expert IT Zone,https://www.linkedin.com/company/expertitzone,Web Developer,2023-09,2024-05,INACTIVE,248
Elearning Design Center,https://www.linkedin.com/company/eldc,Game Developer,2023-03,2023-09,INACTIVE,248
Expert IT Zone,https://www.linkedin.com/company/expertitzone,Java Programmer,2021-11,2021-12,INACTIVE,248
NIIT Limited,https://www.linkedin.com/company/niit-limited,C & C++,2020-06,2020-09,INACTIVE,248
Hansgrohe Group,https://www.linkedin.com/company/hansgrohe-group,Manager Custom Solutions,2023-09,,ACTIVE,249
Hansgrohe Group,https://www.linkedin.com/company/hansgrohe-group,Manager Service Delivery Center Türkiye,2023-10,2025-02,INACTIVE,249
Hansgrohe Group,https://www.linkedin.com/company/hansgrohe-group,Manager Smart Applications,2023-01,2023-09,INACTIVE,249
Hansgrohe Group,https://www.linkedin.com/company/hansgrohe-group,Product Owner Smart Applications (IoT-Software),2021-07,2023-09,INACTIVE,249
Brocodes UG,,Founder,2017-09,2022-12,INACTIVE,249
WERMA,https://www.linkedin.com/company/werma,Softwareentwickler C#/Angular,2019-03,2021-06,INACTIVE,249
Cellent GmbH,,Junior Consultant Analytics,2018-10,2019-01,INACTIVE,249
Hugo Kern und Liebers GmbH & Co. KG,https://www.linkedin.com/company/kern-liebers,Corporate Student Business Informatics,2015-10,2018-10,INACTIVE,249
Aesculap,https://www.linkedin.com/company/aesculap-us,Trainee Information technology clerk,2012-09,2015-07,INACTIVE,249
Tempo one,https://www.linkedin.com/company/tempoone,Responsable Développement Automotive,2023-09,,ACTIVE,250
Continental,https://www.linkedin.com/company/continental,Responsable distribution,2012-01,2023-08,INACTIVE,250
Continental,https://www.linkedin.com/company/continental,Responsable CRC,2009-04,2011-12,INACTIVE,250
Continental,https://www.linkedin.com/company/continental,Chef de Groupe Réclamation,2007-07,2009-03,INACTIVE,250
BMW Group,https://www.linkedin.com/company/bmw-group,Projektmanager strat. BK E/E Infrastruktur,2021-05,,ACTIVE,251
BMW Group,https://www.linkedin.com/company/bmw-group,Projektcontroller Entwicklungskosten BK AF & BK IuK (Gen18&21),2016-12,2021-05,INACTIVE,251
BMW Group,https://www.linkedin.com/company/bmw-group,Indirekter Einkauf Produktionsanlagen & Bau,2015-12,2016-11,INACTIVE,251
e-fellows.net,https://www.linkedin.com/company/e-fellows-net,Freier Mitarbeiter (Marketing),2014-09,2015-11,INACTIVE,251
e-fellows.net,https://www.linkedin.com/company/e-fellows-net,Werkstudent Marketing,2013-07,2014-08,INACTIVE,251
BMW Group,https://www.linkedin.com/company/bmw-group,Praktikum Controlling,2012-09,2013-03,INACTIVE,251
BMW Group,https://www.linkedin.com/company/bmw-group,Serviceberater für Sonder- und Entwicklungsfahrzeuge,2010-02,2010-07,INACTIVE,251
BMW Group,https://www.linkedin.com/company/bmw-group,Auszubildender zum Kfz-Mechatroniker,2007-09,2010-02,INACTIVE,251
WAY GROUP,https://www.linkedin.com/company/way-business-solutions,Freelancer,2007-07,2007-08,INACTIVE,251
ILODECO,https://www.linkedin.com/company/ilodeco,Responsable de projet marketing et communications,2023-01,,ACTIVE,252
Stradivarius,https://www.linkedin.com/company/stradivarius,Vendeuse,2021-06,2021-08,INACTIVE,252
Giorgio Armani,https://www.linkedin.com/company/giorgio-armani,Conseiller ventes,2021-01,2021-02,INACTIVE,252
SWICA Krankenversicherung AG,,Leiter Fachbereich IT Security & Engineering,,,UNKNOWN,253
W+V Schweizer Immobilienvermittlungs GmbH,,Geschäftsführung,,,UNKNOWN,254
BVFI - Bundesverband für die Immobilienwirtschaft,,Vermittlung und Verrentung von Immobilien,2016,,ACTIVE,254
W+V Schweizer-Immobilien GmbH,,Geschäftsführung,1937-01,,ACTIVE,254
MANUFACTURE FRANCAISE DU CYCLE,https://www.linkedin.com/company/manufacture-francaise-du-cycle,Approvisionneuse Bilingue,2018-02,,ACTIVE,255
Ouest Sécurité Marine - OSM,https://www.linkedin.com/company/ouest-sécurité-marine,Assistant commercial,2016-01,2017-12,INACTIVE,255
Kuehne & Nagel International,,Gestionnaire appro / logistique,2015-10,2015-12,INACTIVE,255
Boluda France,https://www.linkedin.com/company/boluda-towage-france-fr,Assistant exploitation,2015-01,2015-09,INACTIVE,255
PRONEGOCE INDUSTRIE,https://www.linkedin.com/company/pronegoce-industrie,Attaché commercial,2013-01,2014-12,INACTIVE,255
Square Habitat Crédit Agricole,https://www.linkedin.com/company/square-habitat-credit-agricole,Agent immobilier,2009-09,2012-12,INACTIVE,255
Salon nautique de Paris,,Hotesse de vente,2006-12,2006-12,INACTIVE,255
Ecole de voile du Rohu,,Assistant direction,2006-06,2006-08,INACTIVE,255
Salon nautique Le Mille Sabords,,Assistant direction,2005-09,2005-10,INACTIVE,255
Doka,https://www.linkedin.com/company/doka,Digital Product Owner,2022-10,,ACTIVE,256
Doka,https://www.linkedin.com/company/doka,Engineering Team Leader,2016-05,2022-10,INACTIVE,256
Doka,https://www.linkedin.com/company/doka,Project Leader,2010-11,2016-05,INACTIVE,256
PERI,https://www.linkedin.com/company/peri,Project/Design Engineer,2008-03,2010-10,INACTIVE,256
Stellantis Germany GmbH,,Head of Legal,2021-04,,ACTIVE,257
Van Cleef & Arpels,https://www.linkedin.com/company/van-cleef-&-arpels,Receptionist,2025-02,,ACTIVE,258
Pforztime,https://www.linkedin.com/company/pforztime,Owner,2024-05,2025-02,INACTIVE,258
Bedell Cellars,https://www.linkedin.com/company/bedell-cellars,Brand Ambassador,2024-12,2025-01,INACTIVE,258
Bedell Cellars,https://www.linkedin.com/company/bedell-cellars,Wine Sales Specialist,2023-04,2025-01,INACTIVE,258
Bedell Cellars,https://www.linkedin.com/company/bedell-cellars,Cellar Operations Specialist,2022-01,2023-04,INACTIVE,258
MACARI VINEYARDS AND WINERY,https://www.linkedin.com/company/macari-vineyards-and-winery-ltd,Wine Specialist,2021-09,2022-04,INACTIVE,258
Cornell Cooperative Extension of Suffolk County,https://www.linkedin.com/company/cornell-cooperative-extension-of-suffolk-county,Marine Sustainability Technician,2018-03,2020-05,INACTIVE,258
Juniper Hill Inc.,,Greenhouse Operations Intern,2018-01,2018-05,INACTIVE,258
S.OLIVER GROUP,https://www.linkedin.com/company/s-oliver-group,Retail Director DACH,2023-11,,ACTIVE,259
Rudolf Wöhrl SE,https://www.linkedin.com/company/rudolf-wöhrl-se,Chief Sales Officer,2020-08,2023-07,INACTIVE,259
Rudolf Wöhrl SE,https://www.linkedin.com/company/rudolf-wöhrl-se,Gesamtverkaufsleiter,2019-05,2020-07,INACTIVE,259
Rudolf Wöhrl SE,https://www.linkedin.com/company/rudolf-wöhrl-se,Geschäftsleiter,2017-06,2019-04,INACTIVE,259
Rudolf Wöhrl AG,,Regionalverkaufsleiter und Geschäftsleiter,2014-04,2017-06,INACTIVE,259
Rudolf Wöhrl AG,,Geschäftsleiter,2011-10,2014-03,INACTIVE,259
Rudolf Wöhrl AG,,Geschäftsleiter,2010-08,2011-09,INACTIVE,259
Peek & Cloppenburg KG Düsseldorf,https://www.linkedin.com/company/peek-cloppenburg-kg-duesseldorf,Abteilungsleiter Vertrieb,2007-04,2010-07,INACTIVE,259
Victoria Versicherungen,https://www.linkedin.com/company/victoria-versicherungen,Gruppenleiter,2004-04,2007-07,INACTIVE,259
Sitel,https://www.linkedin.com/company/sitelgroup,Call Agent,2018-02,2021-01,INACTIVE,260
Varme og Kulde AS,,Chief Executive Officer,2025-01,,ACTIVE,261
Alpha Entreprenør AS,https://www.linkedin.com/company/alpha-entreprenør-as,Prosjektleder,2019-01,,ACTIVE,261
F. Bosch Medizintechnik Germany,https://www.linkedin.com/company/fbosch,General Manager,1992-01,,ACTIVE,262
Friedrich Bosch GmbH&Co.KG,,General Manager,1991,2023-10,INACTIVE,262
Storage King USA,,Storage King USA,,,UNKNOWN,263
****** **** *******,,****** **** *******,,,UNKNOWN,263
****** *******,,****** *******,,,UNKNOWN,263
****** ******** ****** ** ********** ** ***** **********,,****** ******** ****** ** ********** ** ***** **********,2010,2014,INACTIVE,263
Lufthansa,https://www.linkedin.com/company/lufthansa,Purser,2008-10,,ACTIVE,264
Lufthansa,https://www.linkedin.com/company/lufthansa,Purser,2008-10,,ACTIVE,264
LAG Inklusionsfirmen Hessen e. V.,https://www.linkedin.com/company/lag-inklusionsfirmen-hessen-e-v,Vorstandsvorsitzender,2023-11,,ACTIVE,265
LAG Inklusionsfirmen Hessen e. V.,https://www.linkedin.com/company/lag-inklusionsfirmen-hessen-e-v,Vorstandsmitglied,2019-10,2023-10,INACTIVE,265
Frankfurter Verein für soziale Heimstätten e.V.,https://www.linkedin.com/company/frankfurter-verein-für-soziale-heimstätten-e-v-,Stellvertretender Geschäftsführer,2018-10,,ACTIVE,265
Frankfurter Verein für soziale Heimstätten e.V.,https://www.linkedin.com/company/frankfurter-verein-für-soziale-heimstätten-e-v-,Bereichsleiter Arbeit | Bildung | Inklusion,2009-09,,ACTIVE,265
kombinat gGmbH,https://www.linkedin.com/company/kombinatggmbh,Geschäftsführer,2015-10,,ACTIVE,265
GDW Genossenschaft der Werkstätten Mitte eG,https://www.linkedin.com/company/gdw-mitte,Vorstandsmitglied,2015-06,,ACTIVE,265
Lectron GmbH,,Geschäftsführer,2016-05,2020-12,INACTIVE,265
KARL MAYER,https://www.linkedin.com/company/karl-mayer,Abteilungsleiter Maschinenmontage,2003-07,2009-08,INACTIVE,265
Deutsche Carbone AG,https://www.linkedin.com/company/deutsche-carbone-ag,Abteilungsleiter Produktion,1992-05,2003-06,INACTIVE,265
Deutsche Carbone AG,https://www.linkedin.com/company/deutsche-carbone-ag,Aufsichtsratsmitglied,1998-05,2002-07,INACTIVE,265
PwC Deutschland,https://www.linkedin.com/company/pwc-deutschland,Associate | M&A,2024-10,,ACTIVE,266
Clearwater International Corporate Finance,https://www.linkedin.com/company/clearwater-corporate-finance,Intern | Corporate Finance (M&A),2023-08,2023-11,INACTIVE,266
Siemens Healthineers,https://www.linkedin.com/company/siemens-healthineers,Working Student | Strategy and M&A,2023-04,2023-08,INACTIVE,266
Deloitte,https://www.linkedin.com/company/deloitte,Intern | M&A Consulting,2023-01,2023-03,INACTIVE,266
Rödl & Partner,https://www.linkedin.com/company/roedl-&-partner,Intern | Transaction & Valuation Services,2022-04,2022-07,INACTIVE,266
ODDO BHF,https://www.linkedin.com/company/oddo-bhf,Working Student | Private Wealth Management,2021-12,2022-03,INACTIVE,266
AL-KO Vehicle Technology Group,https://www.linkedin.com/company/al-ko-vehicle-technology,Dual Study Programme,2018-10,2021-09,INACTIVE,266
HighRadius,https://www.linkedin.com/company/highradius,VP - Talent Acquisition & People & Culture(HR),2025-01,,ACTIVE,267
HighRadius,https://www.linkedin.com/company/highradius,Vice President - Talent Experience,2024-09,,ACTIVE,267
Sirion,https://www.linkedin.com/company/sirionclm,Global Head of Human Resources,2021-09,2024-01,INACTIVE,267
Sirion,https://www.linkedin.com/company/sirionclm,Sr. Manager Strategic HR,2018-11,2021-09,INACTIVE,267
Incedo Inc.,https://www.linkedin.com/company/incedo-inc,Talent Acquisition India & North America,2016-04,2018-11,INACTIVE,267
Trend Micro,https://www.linkedin.com/company/trend-micro,HR Specialist (India & South East Asia),2014-06,2016-01,INACTIVE,267
Accretive Health,https://www.linkedin.com/company/r1-rcm,Executive Talent Acquisition,2010-07,2013-02,INACTIVE,267
Andersch,https://www.linkedin.com/company/fti-andersch,Partner,2012-10,,ACTIVE,268
KPMG,https://www.linkedin.com/company/kpmg,Manager,2006-05,2012-09,INACTIVE,268
Bohnert Groß & Partner,,Project manager,2003-05,2006-05,INACTIVE,268
WashTec AG,https://www.linkedin.com/company/washtec-holding-gmbh,Senior Vice President R&D,2020-04,,ACTIVE,269
KUKA Robotics,https://www.linkedin.com/company/kukaglobal,Dr. Albrecht Hoene,2007-07,2020-03,INACTIVE,269
Krones AG,https://www.linkedin.com/company/krones,Vice President R&D Component Development,2003-09,2007-06,INACTIVE,269
Siemens,https://www.linkedin.com/company/siemens,Head of Partner Management and Controls (Siemens Production Logistics),1999-11,2003-08,INACTIVE,269
Mannesmann Dematic AG,https://www.linkedin.com/company/dematic,Head of electronic engineering,1994-10,1999-10,INACTIVE,269
Philips Kommunikations Industrie AG,,Developer Cellular Phones,1992-10,1994-09,INACTIVE,269
Hotel-Gaststätte Mutter Buermann,,Hotelier/Gastronom,,,UNKNOWN,270
pt karya makmur ckmt,,Mechanical Engineering Specialist,2023-09,2025-03,INACTIVE,271
Lobbe,https://www.linkedin.com/company/lobbe-gruppe,Industriereiniger,2023-10,,ACTIVE,272
ProFina Deutschland,https://www.linkedin.com/company/rundum-abgesichert,Finanzassistent,2024-06,2024-09,INACTIVE,272
Garden of Concepts GmbH,https://www.linkedin.com/company/garden-of-concepts-gmbh,CEO,2011-09,,ACTIVE,273
ERWEKA GmbH,https://www.linkedin.com/company/erweka-gmbh,IT-Consultant & Solution Architekt,2017-04,,ACTIVE,273
WM Gruppe,https://www.linkedin.com/company/wm-gruppe,Agile Coach / Berater,2019-11,2021-11,INACTIVE,273
LILLYDOO GmbH,https://www.linkedin.com/company/lillydoo-gmbh,Berater/Entwickler,2019-02,2021-11,INACTIVE,273
ADticket GmbH,https://www.linkedin.com/company/adticket-gmbh,IT-Consultant,2010-03,2017-04,INACTIVE,273
redfrog Software Solutions,,Inhaber,2006-04,2011-12,INACTIVE,273
Casa United SAGL,,CTO,2009-01,2011-01,INACTIVE,273
Provadis Partner für Bildung und Beratung GmbH,,IT-Consultant,2009-06,2010-06,INACTIVE,273
Provadis Partner für Bildung und Beratung GmbH,,Software-Architekt/-Entwickler,2007-03,2009-05,INACTIVE,273
fourty2 software design GmbH,,Software-Architekt/-Entwickler,2006-09,2007-02,INACTIVE,273
Deutsche Bank,https://www.linkedin.com/company/deutsche-bank,Entwickler,2004-07,2006-06,INACTIVE,273
Deutsche Bank,https://www.linkedin.com/company/deutsche-bank,Praktikant,2003-07,2004-06,INACTIVE,273
Oncotec Pharma Produktion GmbH,https://www.linkedin.com/company/oncotec-pharma-produktion-gmbh,Qualified Person,,,UNKNOWN,274
PALFINGER Group,https://www.linkedin.com/company/palfingerag,Senior Vice President Global Supplier Management,2008-04,,ACTIVE,275
Bison Palfinger,,Geschäftsführer,2004,2008-03,INACTIVE,275
Palfinger,https://www.linkedin.com/company/palfingerag,Zentraleinkauf (zentraler strategischer Einkauf),1994,2004,INACTIVE,275
FedEx,https://www.linkedin.com/company/fedex,Sr. International Agent,2023-01,,ACTIVE,276
Elite SCS,,Onsite Supervisor,2020-11,2023-02,INACTIVE,276
Elite Supply Chain Services,https://www.linkedin.com/company/elite-supply-chain-services,Onsite Supervisor,2020-11,2023-02,INACTIVE,276
FedEx,,ramp agent/ assistant manager,2001,2012,INACTIVE,276
Parangat Technologies,https://www.linkedin.com/company/parangat-technologies,Manager- Hr Ops & Talent Acquisition,2024-11,,ACTIVE,277
InnovationM,https://www.linkedin.com/company/innovationm,Human Resources Team Lead,2023-01,2024-08,INACTIVE,277
"Next Level Business Services, Inc.",https://www.linkedin.com/company/nlb-services,Talent Acquisition Specialist,2019-01,2023-01,INACTIVE,277
Altezzasys Systems Pvt Ltd,https://www.linkedin.com/company/altezzasys-systems,HR Executive,2018-05,2019-01,INACTIVE,277
MY ZEAL IT Solutions LLC,https://www.linkedin.com/company/myzealit,HR cum Recruiter,2017-09,2018-04,INACTIVE,277
PaxAn®,https://www.linkedin.com/company/paxan,CEO,2024-01,,ACTIVE,278
robert obermeyer consulting GmbH,https://www.linkedin.com/company/robert-obermeyer-consulting,Geschäftsführer,2019-01,,ACTIVE,278
robert obermeyer consulting GmbH,https://www.linkedin.com/company/robert-obermeyer-consulting,Project Manager / Authorised Officer,2013-03,2018-12,INACTIVE,278
robert obermeyer consulting GmbH,https://www.linkedin.com/company/robert-obermeyer-consulting,Consultant,2009-01,2013-03,INACTIVE,278
Freelancer constructor,,Assistant Electrician,2022-10,2023-02,INACTIVE,279
Inoxdimas,,Machine shop,2021-09,2022-08,INACTIVE,279
VERWO AG,https://www.linkedin.com/company/verwo-ag,Production Engineer,2025-03,,ACTIVE,280
VERWO AG,https://www.linkedin.com/company/verwo-ag,Leiter Qualitätssicherung,2023-08,2025-02,INACTIVE,280
VERWO AG,https://www.linkedin.com/company/verwo-ag,Qualitätsprüfer / Messtechniker,2017-12,2023-07,INACTIVE,280
KUNDERT AG,https://www.linkedin.com/company/kundert,Qualitätsprüfer und Messtechniker,2014-08,2017-11,INACTIVE,280
ABB,https://www.linkedin.com/company/abb,Qualitätstechniker,2009-06,2014-03,INACTIVE,280
ABB,https://www.linkedin.com/company/abb,Teamleiter nachgelagerte Prozesse,2007-03,2009-05,INACTIVE,280
Schlosserei Germann,,Werkstattleiter,2005-05,2007-02,INACTIVE,280
Bundeswehr (German Federal Armed Forces),https://www.linkedin.com/company/bundeswehr-german-federal-armed-forces,Militärangehöriger,2000-07,2002-05,INACTIVE,280
